,o_loc,d_loc,hbw,hbo,nhb,am,md,pm,rd
183,10,13,4443.71794872,7887.28205128,5147.58974359,2424.02564103,6215.56410256,3349.87179487,2474.69230769
184,10,14,902.948717949,1473.94871795,1111.48717949,328.794871795,1197.43589744,980.384615384,523.948717949
185,10,15,1261.87179487,1456.46153846,533.025641026,359.461538461,1042.76923077,1247.15384615,712.82051282
186,10,16,4373.20512821,7605.74358974,4056.07692308,2299.56410256,5274.87179487,3883.61538462,2899.23076923
187,10,17,247.743589743,207.282051282,72.0512820513,52.3076923077,182.512820513,245.871794872,132.384615385
188,10,18,7916.82051282,13169.4102564,6136.76923077,4035.1025641,8428.8974359,5803.05128205,4574.51282051
189,10,19,14579.3333333,20956.1794872,6791.12820513,5573.94871795,13920.6666667,11999.6410256,11339.051282
190,11,1,45652.3589744,97533.1282051,31351.025641,20317.1538462,63982.4871795,50381.7179487,40952.2307692
191,11,2,15318.5384615,30536.1282051,16035.6666667,9094.1025641,19196.6666667,7383.8974359,5897.56410256
192,11,3,2329.64102564,3220.71794872,1740.02564103,829.846153846,2300.79487179,2137.38461538,1020.43589744
193,11,4,9327.51282051,15428.5128205,6551.28205128,4166.92307692,9428.46153846,5647.56410256,4786.56410256
194,11,5,8475.46153846,17129.6153846,8148.35897436,5338.87179487,11178.025641,5795.0,3926.64102564
195,11,6,2278.38461538,4079.33333333,1873.1025641,1041.58974359,2519.94871795,1751.38461538,1580.35897436
196,11,7,9313.84615384,16627.4358974,7840.8974359,4754.97435897,10553.3846154,6398.20512821,4133.51282051
197,11,8,10786.4615385,21849.1794872,9177.17948718,5413.71794872,14262.8461538,9895.71794872,7145.92307692
198,11,9,1678.94871795,2495.71794872,1108.74358974,679.717948718,1510.0,1228.1025641,688.461538461
199,11,10,12950.3076923,25416.1025641,10440.1794872,6088.74358974,18235.4102564,12055.1538462,8483.97435898
200,11,11,93088.7179487,158083.589744,277623.358974,251005.820513,289403.307692,212971.358974,308978.307692
201,11,12,8336.71794872,15076.4871795,7894.84615385,4498.76923077,10019.025641,5422.35897436,4387.82051282
202,11,13,2633.02564103,4101.1025641,2020.8974359,1257.82051282,2709.43589744,1661.12820513,1185.94871795
203,11,14,1607.25641026,1301.05128205,822.076923077,744.769230769,1095.51282051,891.102564103,421.282051282
204,11,15,1523.66666667,2766.35897436,962.974358975,505.615384615,1861.58974359,1920.15384615,1256.07692308
205,11,16,3848.66666667,5580.0,2204.25641026,1385.20512821,3607.07692308,3129.53846154,1886.82051282
206,11,17,473.487179488,284.153846154,54.8717948718,51.3076923077,358.0,303.846153846,124.974358974
207,11,18,10544.7692308,18912.2307692,9204.53846154,5358.94871795,12477.8717949,8184.71794872,6116.12820513
208,11,19,9819.92307692,16213.3333333,6148.02564103,4422.15384615,9633.82051282,6062.38461539,5837.07692308
209,12,1,33089.7179487,46002.1538461,12439.9230769,5468.33333333,38947.6923077,41338.3333333,25990.7435897
210,12,2,11576.0,27562.8461539,25476.3076923,7899.28205128,23456.4871795,9768.64102564,4872.43589744
211,12,3,1637.66666667,2075.25641026,1595.61538462,587.974358974,1713.61538462,1643.17948718,829.358974359
212,12,4,5439.74358974,7607.94871795,5093.15384615,2218.84615385,5530.17948718,4298.53846154,3151.97435897
213,12,5,2375.97435897,5142.0,4229.28205128,1254.12820513,4217.0,2829.05128205,1156.17948718
214,12,6,1254.35897436,1920.61538462,1126.74358974,470.948717949,1363.30769231,1105.74358974,916.230769231
215,12,7,4659.25641026,8896.02564103,8275.17948718,2252.56410256,7636.69230769,5269.74358974,2718.82051282
216,12,8,4107.64102564,5339.25641026,3957.1025641,1239.23076923,4642.74358974,4647.64102564,2555.43589744
217,12,9,1111.41025641,1396.74358974,1188.97435897,447.641025641,1245.97435897,1061.87179487,483.41025641
218,12,10,12548.3846154,27626.1538462,19359.7948718,7068.58974359,22347.5128205,15984.6153846,10945.1538461
219,12,11,8735.25641026,15257.1025641,9075.56410256,2743.84615385,13277.7692308,17661.2564103,7813.7948718
220,12,12,88001.5897436,62426.5641026,125128.923077,73175.3846154,108402.717949,65680.1282052,83262.2051282
221,12,13,1550.51282051,2417.23076923,1768.33333333,760.17948718,1856.66666667,1372.02564103,859.333333333
222,12,14,858.282051282,780.846153846,628.487179487,216.076923077,855.282051282,833.743589744,383.051282051
